Brand,Slug,Source,# Levers,Banner,Free Ship Threshold ($),Subscribe & Save %,Sale Collection,Sale Coll Count,Sale Coll Avg Discount %,Catalog Scan: On Sale,Catalog Scan: Scanned,Catalog Scan: Avg %,Catalog Scan: Max %,Levers (joined),Scraped At
Represent Clothing,represent-clothing,live,2,DOWNLOAD THE APP FOR 15% OFF YOUR FIRST ORDER,,,,,,12,250,17,21,"Currently 12 products on sale (5% of recent inventory) — average discount 17% off list, up to 21% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""DOWNLOAD THE APP FOR 15% OFF YOUR FIRST ORDER""",2026-05-08
Retro Supply Co,retro-supply-co,live,1,,,,,,,6,250,28,34,"Currently 6 products on sale (2% of recent inventory) — average discount 28% off list, up to 34% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Ridge,ridge,live,2,UP TO 44% OFF — SHOP TRAVEL ESSENTIALS,,,,,,102,250,34,97,"Currently 102 products on sale (41% of recent inventory) — average discount 34% off list, up to 97% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""UP TO 44% OFF — SHOP TRAVEL ESSENTIALS""",2026-05-08
RIPNDIP,ripndip,live,1,,,,sale,1,83,7,250,44,58,"Currently 83% off across 1 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Rocketbook,rocketbook,live,2,FREE Shipping on Orders $45+,45,,,,,1,50,20,20,"Free shipping on orders $45+ (current store policy) || Currently 1 products on sale (2% of recent inventory) — average discount 20% off list, up to 20% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Rothys,rothys,live,2,Free Shipping & Easy Returns,,,,,,20,250,23,41,"Free shipping (per current site banner: 'Free Shipping & Easy Returns') || Currently 20 products on sale (8% of recent inventory) — average discount 23% off list, up to 41% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Secret Woods,secret-woods,live,1,,,,clearance,16,42,27,135,28,50,"Currently 42% off across 16 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Secretlab,secretlab,live,1,,,,,,,28,134,16,30,"Currently 28 products on sale (21% of recent inventory) — average discount 16% off list, up to 30% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Sister Jane,sister-jane,live,2,"Free delivery to United Kingdom above £60 ✈ ""Close""",60,,sale,50,36,26,250,30,43,"Free shipping on orders $60+ (current store policy) || Currently 36% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Soko Glam,soko-glam,live,2,"NO TARIFFS, FREE US SHIPPING OVER $50",50,,,,,6,250,32,38,"Free shipping on orders $50+ (current store policy) || Currently 6 products on sale (2% of recent inventory) — average discount 32% off list, up to 38% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Soylent,soylent,live,1,,,,,,,52,78,8,15,"Currently 52 products on sale (67% of recent inventory) — average discount 8% off list, up to 15% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Spigen,spigen,live,0,,,,,,,,,,,,2026-05-08
Steve Madden,steve-madden,live,2,Treat Yourself: 25% off select styles with code TREAT. Shop Now,,,all-sale,50,57,69,250,46,79,"Currently 57% off across 50 products in our 'all-sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Treat Yourself: 25% off select styles with code TREAT. Shop Now""",2026-05-08
Stumptown Coffee,stumptown-coffee,live,1,Coffee Quiz,,,,,,,,,,"Current site-wide promotion: ""Coffee Quiz""",2026-05-08
Taylor Stitch,taylor-stitch,live,2,Free Shipping & Returns On Every Domestic Order Get Early Access To Exclusive Launches - Sign Up For Texts,,,,,,19,250,33,40,"Free shipping (per current site banner: 'Free Shipping & Returns On Every Domestic Order Get Early Access To Exclusive Launches - Sign Up For Texts') || Currently 19 products on sale (8% of recent inventory) — average discount 33% off list, up to 40% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Taylor Swift Store,taylor-swift-store,live,1,,,,sale,45,16,34,250,17,26,"Currently 16% off across 45 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Teddy Fresh,teddy-fresh,live,1,,,,sale,6,50,6,49,50,50,"Currently 50% off across 6 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
TeeFury,teefury,live,1,,,,sale,50,33,241,250,16,27,"Currently 33% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
The Brick,the-brick,live,1,Free local delivery when you purchase any mattress on your FlexitiCard,,,,,,171,250,23,70,"Currently 171 products on sale (68% of recent inventory) — average discount 23% off list, up to 70% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
The Pi Hut,the-pi-hut,live,0,Raspberry Pi Kits Everything you need in one box to get started with Raspberry Pi Buy a Kit,,,,,,,,,,,2026-05-08
The Yetee,the-yetee,live,0,,,,,,,,,,,,2026-05-08
ThirdLove,thirdlove,live,1,,,,sale,50,45,63,250,42,77,"Currently 45% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Timbuk2,timbuk2,live,2,Free Shipping on Orders $50+. Shop Now,50,,sale,1,14,1,147,14,14,"Free shipping on orders $50+ (current store policy) || Currently 14% off across 1 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
U Turn Audio,u-turn-audio,live,1,Ethos Powered Speakers $499,,,,,,2,95,21,30,"Currently 2 products on sale (2% of recent inventory) — average discount 21% off list, up to 30% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
UNIF,unif,live,2,Free Shipping,,,sale,50,34,175,250,21,48,"Free shipping (per current site banner: 'Free Shipping') || Currently 34% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Uniqfind,uniqfind,live,0,,,,,,,,,,,,2026-05-08
Unique Vintage,unique-vintage,live,2,30% Off Floral with code FLORAL30 30% Off Floral with code FLORAL30 Extra 40% Off Sale with Code SALE40 Extra 40% Off Sale with Code SALE40,,,sale,50,44,60,250,30,76,"Currently 44% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""30% Off Floral with code FLORAL30 30% Off Floral with code FLORAL30 Extra 40% Off Sale with Code SALE40 Extra 40% Off Sale with Code SALE40""",2026-05-08
United By Blue,united-by-blue,live,1,THE BRAND NEW (R)EVOLUTION DAILY CROSS-BODY. $40 FOR A LIMITED TIME,,,sale,1,50,26,250,40,56,"Currently 50% off across 1 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
UNTUCKit,untuckit,live,2,30% Off Short-Sleeve Styles,,,sale,50,21,22,250,18,28,"Currently 21% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""30% Off Short-Sleeve Styles""",2026-05-08
Valfre,valfre,live,1,,,,,,,84,149,19,50,"Currently 84 products on sale (56% of recent inventory) — average discount 19% off list, up to 50% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Vanity Planet,vanity-planet,live,2,20% OFF,,,clearance,7,56,8,42,31,71,"Currently 56% off across 7 products in our 'clearance' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""20% OFF""",2026-05-08
Vapor Authority,vapor-authority,live,2,10% Off Your Order When You Sign Up For Our News,,,sale,22,36,80,250,28,87,"Currently 36% off across 22 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""10% Off Your Order When You Sign Up For Our News""",2026-05-08
Vapoureyes,vapoureyes,live,1,,,,,,,168,250,26,81,"Currently 168 products on sale (67% of recent inventory) — average discount 26% off list, up to 81% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Velasca,velasca,live,1,:root{--desktop-promotional-banner-height:41px;--mobile-promotional-banner-height:41px},,,outlet,50,40,141,250,41,50,"Currently 40% off across 50 products in our 'outlet' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Velvet Caviar,velvet-caviar,live,1,,,,promo,50,40,60,250,31,32,"Currently 40% off across 50 products in our 'promo' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
VICI,vici,live,2,Earn Up To $100 Reward Code 💰 Shop Gift Cards,,,all-sale,50,21,129,250,22,66,"Currently 21% off across 50 products in our 'all-sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""Earn Up To $100 Reward Code 💰 Shop Gift Cards""",2026-05-08
Victory Hangers,victory-hangers,live,0,,,,,,,,,,,,2026-05-08
Vincero Collective,vincero-collective,live,2,GET 20% OFF SITEWIDE WITH CODE SPRING20,,,last-call,50,42,57,250,27,53,"Currently 42% off across 50 products in our 'last-call' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""GET 20% OFF SITEWIDE WITH CODE SPRING20""",2026-05-08
Vitaly,vitaly,live,2,FREE SHIPPING ON ORDERS $ 85+ USD,85,,sale,50,40,65,249,38,50,"Free shipping on orders $85+ (current store policy) || Currently 40% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
VRS Design,vrs-design,live,1,,,,,,,81,214,31,59,"Currently 81 products on sale (38% of recent inventory) — average discount 31% off list, up to 59% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Waist Shaperz,waist-shaperz,live,2,WINTER SALE! 25% OFF EVERYTHING WITH CODE: SAVE25,,,sale,22,43,10,175,32,73,"Currently 43% off across 22 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: ""WINTER SALE! 25% OFF EVERYTHING WITH CODE: SAVE25""",2026-05-08
Wandrd,wandrd,live,2,"For a limited time only, we are offering FREE SHIPPING on orders over $149 if you live in the contiguous 48 states!",149,,sale,50,28,222,250,26,40,"Free shipping on orders $149+ (current store policy) || Currently 28% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
What Do You Meme,what-do-you-meme,live,0,,,,,,,,,,,,2026-05-08
Wicked Clothes,wicked-clothes,live,2,SAVE UP TO 50% OFF SITEWIDE,,,,,,88,250,8,50,"Currently 88 products on sale (35% of recent inventory) — average discount 8% off list, up to 50% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""SAVE UP TO 50% OFF SITEWIDE""",2026-05-08
Wigs,wigs,live,2,30% OFF SITEWIDE Auto-Applied | Excludes Clearance,,,,,,215,250,15,57,"Currently 215 products on sale (86% of recent inventory) — average discount 15% off list, up to 57% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""30% OFF SITEWIDE Auto-Applied | Excludes Clearance""",2026-05-08
Wildflower Cases,wildflower-cases,live,2,₊ ⊹ Free Shipping for orders over $50 ₊ ⊹,50,,sale,50,39,43,250,37,50,"Free shipping on orders $50+ (current store policy) || Currently 39% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
William Painter,william-painter,live,2,"All frames backed by our Lifetime Warranty · Free US shipping over $149 · Buy now, pay later with AfterPay ·",149,,,,,22,25,30,50,"Free shipping on orders $149+ (current store policy) || Currently 22 products on sale (88% of recent inventory) — average discount 30% off list, up to 50% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Wish Atlanta,wish-atlanta,live,2,:root { --announcement-height: 40px; } @media screen and (min-width: 576px) { :root { --announcement-height: 40px; } } FOOTWEAR & APPAREL MARKDOWNS | UP TO 70% OFF,,,mens-sale,50,45,5,250,50,67,"Currently 45% off across 50 products in our 'mens-sale' collection — if this SKU is in that collection, the discount is already applied || Current site-wide promotion: "":root { --announcement-height: 40px; } @media screen and (min-width: 576px) { :root { --announcement-height: 40px; } } FOOTWEAR & APPAREL MARKDOWNS | UP TO 70% OFF""",2026-05-08
Womens Best,womens-best,live,1,"Product of the day parseFloat(upsellPromo.selectedVariant.price)"" v-text=""moneyformat(parseFloat(upsellPromo.selectedVariant.compare_at_price))"">",,,,,,175,250,29,72,"Currently 175 products on sale (70% of recent inventory) — average discount 29% off list, up to 72% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
WP Standard,wp-standard,live,0,,,,,,,,,,,,2026-05-08
WYO,wyo,live,1,Free Shipping to Every Corner of India,,,,,,,,,,Free shipping (per current site banner: 'Free Shipping to Every Corner of India'),2026-05-08
XGaming,xgaming,live,2,⚡SALE - 20% OFF Sitewide. Use code 'BTA20'⚡,,,,,,14,45,29,50,"Currently 14 products on sale (31% of recent inventory) — average discount 29% off list, up to 50% off. If this SKU has compare_at_price set, the markdown is already applied. || Current site-wide promotion: ""⚡SALE - 20% OFF Sitewide. Use code 'BTA20'⚡""",2026-05-08
Xhibition,xhibition,live,1,,,,sale,50,48,4,250,50,70,"Currently 48% off across 50 products in our 'sale' collection — if this SKU is in that collection, the discount is already applied",2026-05-08
Yes We Vibe,yes-we-vibe,live,1,,,,,,,248,250,16,71,"Currently 248 products on sale (99% of recent inventory) — average discount 16% off list, up to 71% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
zen minded,zen-minded,live,0,,,,,,,,,,,,2026-05-08
Zippo USA,zippo-usa,live,1,Free shipping on orders over $80 (some exclusions apply),80,,,,,,,,,Free shipping on orders $80+ (current store policy),2026-05-08
Zoo Fashions,zoo-fashions,live,1,Authorised retailer since 1982. Free UK and Worldwide shipping*,,,,,,65,250,47,55,"Currently 65 products on sale (26% of recent inventory) — average discount 47% off list, up to 55% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
Zorrata,zorrata,live,1,,,,,,,98,188,32,69,"Currently 98 products on sale (52% of recent inventory) — average discount 32% off list, up to 69% off. If this SKU has compare_at_price set, the markdown is already applied.",2026-05-08
